source_file,parsed_on,product_name,sku,defect_reason,batch_code,expiry_date,quantity_pcs,rsp_per_unit,months_until_exp,cogs_per_unit
FTI Reject List 2026.xlsx,2026-05-28,BLUE PEA MICELLAR WATER 265 ML,,,-,2027-07-01,8,159000.0,13.3,
FTI Reject List 2026.xlsx,2026-05-28,SUGARCANE TONER 50 ML,,,CGZ,2027-07-29,15,110000.0,14.233333333333333,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SWEET PEACH,,,CHZ,2027-08-30,5,149000.0,15.3,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER PINK SUGAR,,,EJZ,2027-09-09,7,149000.0,15.633333333333333,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER PINK SUGAR,,,FJZ,2027-09-09,2,149000.0,15.633333333333333,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER COLD BREW,,,EJZ,2027-09-17,2,149000.0,15.9,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER COLD BREW,,,FJZ,2027-09-17,3,149000.0,15.9,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER CLASSIC NUDE,,,EJZ,2027-09-18,12,149000.0,15.933333333333334,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER CLASSIC NUDE,,,FJZ,2027-09-18,11,149000.0,15.933333333333334,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER COLD BREW,,,GJZ,2027-09-18,1,149000.0,15.933333333333334,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER CLASSIC NUDE,,,BJZ,2027-09-19,2,149000.0,15.966666666666667,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SWEET PEACH,,,DJZ,2027-09-20,2,149000.0,16.0,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SWEET PEACH,,,EJZ,2027-09-20,8,149000.0,16.0,
FTI Reject List 2026.xlsx,2026-05-28,WHITE TEA SUNSCREEN 35 ML,,,AJZ,2027-09-30,2,179000.0,16.333333333333332,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER CLEARLY NAKED,,,ALZ,2027-11-08,3,149000.0,17.633333333333333,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER CLEARLY NAKED,,,BLZ,2027-11-11,8,149000.0,17.733333333333334,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER BERRY BURST,,,BLZ,2027-11-12,5,149000.0,17.766666666666666,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER BERRY BURST,,,DLZ,2027-11-12,4,149000.0,17.766666666666666,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SPARKLING BLUSH,,,BLZ,2027-11-15,2,149000.0,17.866666666666667,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SPARKLING BLUSH,,,CLZ,2027-11-15,6,149000.0,17.866666666666667,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SPARKLING BLUSH,,,DLZ,2027-11-15,5,149000.0,17.866666666666667,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER BERRY BURST,,,ELZ,2027-11-28,3,149000.0,18.3,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER CLEARLY NAKED,,,CLZ,2027-11-28,3,149000.0,18.3,
FTI Reject List 2026.xlsx,2026-05-28,BALI GREEN COFFEE EYE CREAM 15 ML,,,AAA,2028-01-24,1,189000.0,20.2,
FTI Reject List 2026.xlsx,2026-05-28,BALI GREEN COFFEE EYE CREAM 15 ML,,,BFA,2028-06-20,14,189000.0,25.133333333333333,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 15 ML,,,BFA,2028-06-20,1,115000.0,25.133333333333333,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 30 ML,,,BFA,2028-06-20,3,195000.0,25.133333333333333,
FTI Reject List 2026.xlsx,2026-05-28,WHITE TEA SUNSCREEN 35 ML,,,AGA,2028-07-09,34,179000.0,25.766666666666666,
FTI Reject List 2026.xlsx,2026-05-28,JAVA BLACK TEA 100 ML,,,BGA,2028-07-31,1,159000.0,26.5,
FTI Reject List 2026.xlsx,2026-05-28,JAVA BLACK TEA 50 ML,,,BGA,2028-07-31,7,99000.0,26.5,
FTI Reject List 2026.xlsx,2026-05-28,PAPUA RED FRUIT CREAM 30 ML,,,CHA,2028-08-04,2,279000.0,26.633333333333333,
FTI Reject List 2026.xlsx,2026-05-28,PAPUA RED FRUIT POTENT SERUM 20 ML,,,AHA,2028-08-14,4,299000.0,26.966666666666665,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 15 ML,,,CHA,2028-08-21,2,115000.0,27.2,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 15 ML,,,BHA,2028-08-28,3,115000.0,27.433333333333334,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 30 ML,,,DHA,2028-08-28,8,195000.0,27.433333333333334,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER PINK SUGAR,,,DHA,2028-08-29,1,149000.0,27.466666666666665,
FTI Reject List 2026.xlsx,2026-05-28,JAVA BLACK TEA 50 ML,,,CHA,2028-08-29,3,99000.0,27.466666666666665,
FTI Reject List 2026.xlsx,2026-05-28,BALI GREEN COFFEE EYE CREAM 15 ML,,,CJA,2028-09-01,2,189000.0,27.566666666666666,
FTI Reject List 2026.xlsx,2026-05-28,JAVA BLACK TEA 100 ML,,,DJA,2028-09-03,2,159000.0,27.633333333333333,
FTI Reject List 2026.xlsx,2026-05-28,JAVA BLACK TEA 100 ML,,,EJA,2028-09-03,5,159000.0,27.633333333333333,
FTI Reject List 2026.xlsx,2026-05-28,PAPUA RED FRUIT CREAM 15 ML,,,DJA,2028-09-04,3,179000.0,27.666666666666668,
FTI Reject List 2026.xlsx,2026-05-28,PAPUA RED FRUIT CREAM 30 ML,,,DJA,2028-09-04,17,279000.0,27.666666666666668,
FTI Reject List 2026.xlsx,2026-05-28,GUAVA MOISTURE GEL 50 ML,,,CKA,2028-10-09,2,219000.0,28.833333333333332,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT MAUVE SURREAL,,,AKA,2028-10-28,1,149000.0,29.466666666666665,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT MAUVE SURREAL,,,AKA,2028-10-28,7,149000.0,29.466666666666665,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 30 ML,,,EKA,2028-10-28,4,195000.0,29.466666666666665,
FTI Reject List 2026.xlsx,2026-05-28,MANGOSTEEN BRIGHTENING SERUM 15 ML,,,FKA,2028-10-30,1,115000.0,29.533333333333335,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT BERRY SURREAL,,,AKA,2028-10-31,1,149000.0,29.566666666666666,
FTI Reject List 2026.xlsx,2026-05-28,BALI GREEN COFFEE EYE CREAM 15 ML,,,DLA,2028-11-03,3,189000.0,29.666666666666668,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT MAUVE SURREAL,,,BLA,2028-11-10,1,149000.0,29.9,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT RUBY RENNAISSANCE,,,DLA,2028-11-17,1,149000.0,30.133333333333333,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SWEET PEACH,,,ALA,2028-11-19,3,149000.0,30.2,
FTI Reject List 2026.xlsx,2026-05-28,PAPUA RED FRUIT OIL 20 ML,,,ALA,2028-11-24,1,315000.0,30.366666666666667,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT MAUVE SURREAL,,,CLA,2028-11-26,23,149000.0,30.433333333333334,
FTI Reject List 2026.xlsx,2026-05-28,JAVA BLACK TEA 100 ML,,,BLA,2028-11-28,1,159000.0,30.5,
FTI Reject List 2026.xlsx,2026-05-28,GUAVA MOISTURE GEL 50 ML,,,DMA,2028-12-04,3,219000.0,30.7,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER SPARKLING BLUSH,,,BMA,2028-12-10,1,149000.0,30.9,
FTI Reject List 2026.xlsx,2026-05-28,ILLIPE LIP BUTTER BERRY BURST,,,AMA,2028-12-11,2,149000.0,30.933333333333334,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT PEACH PORTRAIT,,,AMA,2028-12-19,1,149000.0,31.2,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT MAUVE SURREAL,,,ABB,2029-02-12,1,149000.0,33.03333333333333,
FTI Reject List 2026.xlsx,2026-05-28,BLURRING POT RUBY RENNAISSANCE,,,BBB,2029-02-12,1,149000.0,33.03333333333333,
FTI Reject List 2026.xlsx,2026-05-28,LIP BRUSH,,,-,,7,99000.0,,
FTI Reject List 2026.xlsx,2026-05-28,LIP GEL,,,-,,17,59000.0,,
