product_name,sku,defect_reason,batch_code,expiry_date,quantity_pcs,rsp_per_unit,months_until_exp,cogs_per_unit
Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,,AAA,2028-01-24,1,189000,20.2,30665
Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,,BFA,2028-06-20,14,189000,25.13333333,30665
Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,,CJA,2028-09-01,2,189000,27.56666667,30665
Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,,DLA,2028-11-03,3,189000,29.66666667,30665
Blue Pea Purifying Micellar Water (265 ml),FWA-BLP-MICELLARWATER-265ML,,-,2027-07-01,8,159000,13.3,24209
Illipe Blurring Butter Pot - Berry Surreal (10 gr),LPP-ILP-BLURRINGPOT-BERRYSURREAL,,AKA,2028-10-31,1,149000,29.56666667,31007
Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,,AKA,2028-10-28,1,149000,29.46666667,31007
Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,,AKA,2028-10-28,7,149000,29.46666667,31007
Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,,BLA,2028-11-10,1,149000,29.9,31007
Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,,CLA,2028-11-26,23,149000,30.43333333,31007
Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,,ABB,2029-02-12,1,149000,33.03333333,31007
Illipe Blurring Butter Pot - Peach Portrait (10 gr),LPP-ILP-BLURRINGPOT-PEACHPORTRAIT,,AMA,2028-12-19,1,149000,31.2,31007
Illipe Blurring Butter Pot - Ruby Renaissance (10 gr),LPP-ILP-BLURRINGPOT-RUBYRENAISSANCE,,DLA,2028-11-17,1,149000,30.13333333,31007
Illipe Blurring Butter Pot - Ruby Renaissance (10 gr),LPP-ILP-BLURRINGPOT-RUBYRENAISSANCE,,BBB,2029-02-12,1,149000,33.03333333,31007
Tropical Guava Barrier Moisture Gel (50 ml),FCR-TGV-BARRIERMOISTUREGEL-50ML,,CKA,2028-10-09,2,219000,28.83333333,32197
Tropical Guava Barrier Moisture Gel (50 ml),FCR-TGV-BARRIERMOISTUREGEL-50ML,,DMA,2028-12-04,3,219000,30.7,32197
Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,,BLZ,2027-11-12,5,149000,17.76666667,29490
Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,,DLZ,2027-11-12,4,149000,17.76666667,29490
Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,,ELZ,2027-11-28,3,149000,18.3,29490
Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,,AMA,2028-12-11,2,149000,30.93333333,29490
Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,,EJZ,2027-09-18,12,149000,15.93333333,29490
Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,,FJZ,2027-09-18,11,149000,15.93333333,29490
Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,,BJZ,2027-09-19,2,149000,15.96666667,29490
Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,,ALZ,2027-11-08,3,149000,17.63333333,29490
Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,,BLZ,2027-11-11,8,149000,17.73333333,29490
Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,,CLZ,2027-11-28,3,149000,18.3,29490
Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,,EJZ,2027-09-17,2,149000,15.9,29490
Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,,FJZ,2027-09-17,3,149000,15.9,29490
Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,,GJZ,2027-09-18,1,149000,15.93333333,29490
Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,,EJZ,2027-09-09,7,149000,15.63333333,29490
Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,,FJZ,2027-09-09,2,149000,15.63333333,29490
Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,,DHA,2028-08-29,1,149000,27.46666667,29490
