timestamp_utc,direction,logged_by,product_name,sku,batch_code,expiry_date,quantity_pcs,defect_reason,disposition,notes,rsp_per_unit,cogs_per_unit,movement_id,inventory_sheet_name,defect_breakdown,defect_breakdown
,inbound,Jess,Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,AAA,2028-01-24,1,,,,189000,30665,f275e41d-2de2-451c-aa3a-154263b6c1c8,,,
,inbound,Jess,Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,BFA,2028-06-20,14,,,,189000,30665,a3c36289-9908-4476-b55f-3f826c232d7e,,,
,inbound,Jess,Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,CJA,2028-09-01,2,,,,189000,30665,c7ee7773-a1f4-4eb1-b7c1-1e2235628bf8,,,
,inbound,Jess,Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,DLA,2028-11-03,3,,,,189000,30665,96b42928-c61c-4989-aa23-2b727866c552,,,
,inbound,Jess,Blue Pea Purifying Micellar Water (265 ml),FWA-BLP-MICELLARWATER-265ML,-,2027-07-01,8,,,,159000,24209,a2888665-4281-4a43-9e5e-61e7353139e0,,,
,inbound,Jess,Illipe Blurring Butter Pot - Berry Surreal (10 gr),LPP-ILP-BLURRINGPOT-BERRYSURREAL,AKA,2028-10-31,1,,,,149000,31007,9fa521db-cf07-4da7-a8bf-82fd104c7ba8,,,
,inbound,Jess,Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,AKA,2028-10-28,1,,,,149000,31007,06631e6e-9462-48a2-accb-5948b41d0c38,,,
,inbound,Jess,Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,AKA,2028-10-28,7,,,,149000,31007,551f961b-26be-4c86-83c9-e5a992338fe2,,,
,inbound,Jess,Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,BLA,2028-11-10,1,,,,149000,31007,60985b94-df02-401e-b77e-f4ba4baea43e,,,
,inbound,Jess,Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,CLA,2028-11-26,23,,,,149000,31007,59da1c72-37a5-4c87-99f7-860b4a1bc0ed,,,
,inbound,Jess,Illipe Blurring Butter Pot - Mauve Mural (10 gr),LPP-ILP-BLURRINGPOT-MAUVEMURAL,ABB,2029-02-12,1,,,,149000,31007,a656d862-2d85-4b39-b51d-5043725cad7b,,,
,inbound,Jess,Illipe Blurring Butter Pot - Peach Portrait (10 gr),LPP-ILP-BLURRINGPOT-PEACHPORTRAIT,AMA,2028-12-19,1,,,,149000,31007,97204833-1776-4d34-a304-ede9f9e00af5,,,
,inbound,Jess,Illipe Blurring Butter Pot - Ruby Renaissance (10 gr),LPP-ILP-BLURRINGPOT-RUBYRENAISSANCE,DLA,2028-11-17,1,,,,149000,31007,e70f55c5-804c-4d83-8873-05f45fce2498,,,
,inbound,Jess,Illipe Blurring Butter Pot - Ruby Renaissance (10 gr),LPP-ILP-BLURRINGPOT-RUBYRENAISSANCE,BBB,2029-02-12,1,,,,149000,31007,6e340dce-e316-4221-a557-da444552530f,,,
,inbound,Jess,Tropical Guava Barrier Moisture Gel (50 ml),FCR-TGV-BARRIERMOISTUREGEL-50ML,CKA,2028-10-09,2,,,,219000,32197,c9c9b21a-3e42-458f-b4c9-ebb2dfa10a1b,,,
,inbound,Jess,Tropical Guava Barrier Moisture Gel (50 ml),FCR-TGV-BARRIERMOISTUREGEL-50ML,DMA,2028-12-04,3,,,,219000,32197,c39504e4-6d41-4c00-b944-2b7f32112517,,,
,inbound,Jess,Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,BLZ,2027-11-12,5,,,,149000,29490,8d962a85-085e-47f0-81ed-78024d402f2f,,,
,inbound,Jess,Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,DLZ,2027-11-12,4,,,,149000,29490,46934d6f-f5c2-47eb-9ddd-12184f9d0f4d,,,
,inbound,Jess,Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,ELZ,2027-11-28,3,,,,149000,29490,299604e8-34b1-4c38-b621-dfe66680c068,,,
,inbound,Jess,Illipe Plumping Lip Butter - Berry Burst (10 gr),LPB-ILP-LIPBUTTER-BERRYBURST,AMA,2028-12-11,2,,,,149000,29490,0054cf97-7b3a-47f6-a05a-aa5b57efe235,,,
,inbound,Jess,Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,EJZ,2027-09-18,12,,,,149000,29490,e4b1dd51-5d83-4aca-9a80-cdf64d48fa8e,,,
,inbound,Jess,Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,FJZ,2027-09-18,11,,,,149000,29490,1a8d1e31-6a97-474d-b7bf-242da876b1ca,,,
,inbound,Jess,Illipe Plumping Lip Butter - Classic Nude (10 gr),LPB-ILP-LIPBUTTER-CLASSICNUDE,BJZ,2027-09-19,2,,,,149000,29490,b70f02c5-134f-4495-b525-2bb4819847bf,,,
,inbound,Jess,Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,ALZ,2027-11-08,3,,,,149000,29490,478a6fa9-c040-4757-9dbb-d0ad9b411412,,,
,inbound,Jess,Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,BLZ,2027-11-11,8,,,,149000,29490,2c02af77-64af-439a-9ef1-7adbb05de6ae,,,
,inbound,Jess,Illipe Plumping Lip Butter - Clearly Naked (10 gr),LPB-ILP-LIPBUTTER-CLEARLYNAKED,CLZ,2027-11-28,3,,,,149000,29490,0c00762c-def3-4027-bdb7-e3ba4dcf0bce,,,
,inbound,Jess,Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,EJZ,2027-09-17,2,,,,149000,29490,d87b91ac-7c56-45d8-a2b8-a850e1daa1f9,,,
,inbound,Jess,Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,FJZ,2027-09-17,3,,,,149000,29490,503df75c-0186-4a72-a812-d7a4c52c034d,,,
,inbound,Jess,Illipe Plumping Lip Butter - Cold Brew (10 gr),LPB-ILP-LIPBUTTER-COLDBREW,GJZ,2027-09-18,1,,,,149000,29490,241ad4d9-dcd6-42dc-844b-e21ae8bfd0d6,,,
,inbound,Jess,Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,EJZ,2027-09-09,7,,,,149000,29490,8d56bd9a-7d6d-426c-8a89-9ef6a255d001,,,
,inbound,Jess,Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,FJZ,2027-09-09,2,,,,149000,29490,ce106a2c-fe08-4af5-87cb-4bf93804b297,,,
,inbound,Jess,Illipe Plumping Lip Butter - Pink Sugar (10 gr),LPB-ILP-LIPBUTTER-PINKSUGAR,DHA,2028-08-29,1,,,,149000,29490,bec6c34a-9b98-4f51-a6f6-2f89d00b5f41,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,BLZ,2027-11-15,2,,,,149000,29490,2c717288-94a9-47bd-bf65-6369e884d7d5,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,CLZ,2027-11-15,6,,,,149000,29490,8a09be1a-ce57-4a23-ae23-3f5820f176ce,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,DLZ,2027-11-15,5,,,,149000,29490,f74469ce-61a0-45a1-8ee7-6e04f6c068d3,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sparkling Blush (10 gr),LPB-ILP-LIPBUTTER-SPARKLINGBLUSH,BMA,2028-12-10,1,,,,149000,29490,b6367395-9960-49aa-9759-b661569d5269,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,CHZ,2027-08-30,5,,,,149000,29490,8417cad3-980c-47e3-8743-4c56a8dad561,,,
,inbound,Jess,Illipe Plumping Lip Butter - Sweet Peach (10 gr),LPB-ILP-LIPBUTTER-SWEETPEACH,DJZ,2027-09-20,2,,,,149000,29490,695fb8e3-a4a8-4675-9350-6a90501d2817,,,
