product_name,sku,image_url,rsp,cogs,product_category,barcode
Bali Green Coffee Espresso Eye Cream (15 ml),FCR-BGR-EYECREAM-15ML,https://drive.google.com/file/d/1_-5ogUVp-zNBn5obaF6NkMd8dphEzpid/view?usp=drive_link,189000,30665,Bali Green Coffee,8994455180245
Papua Red Fruit Plumping Cream (15 ml) - V2,FCR-PRF-PLUMPINGCREAM-15ML-V2,https://drive.google.com/file/d/1HcLuSsJ7W-Nrc5ltqo8s6X-6KDJ_PDyn/view?usp=drive_link,179000,36754,Papua Red Fruit,8994455180207
Papua Red Fruit Plumping Cream (30 ml) - V2,FCR-PRF-PLUMPINGCREAM-30ML-V2,https://drive.google.com/file/d/1HcLuSsJ7W-Nrc5ltqo8s6X-6KDJ_PDyn/view?usp=drive_link,279000,56699,Papua Red Fruit,8994455180214
Tropical Guava Barrier Moisture Gel (50 ml),FCR-TGV-BARRIERMOISTUREGEL-50ML,https://drive.google.com/file/d/1bhLC6UTgnEA4xJbwZwUFQ46tDF7x1Q_o/view?usp=drive_link,219000,32197,Guava,8994455180023
Papua Red Fruit Plumping Oil (20 ml),FOI-PRF-PLUMPINGOIL-20ML,https://drive.google.com/file/d/1Ns5HQyb2n5uRQ3GRg3CXCuxkX_YsyAfx/view?usp=drive_link,315000,44953,Papua Red Fruit,8994455180290
Mangosteen Brightening Serum (15 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-15ML-V2,https://drive.google.com/file/d/1E1LTKzMDrKQ2cGeAPp3PnwO3O6uX8LyR/view?usp=drive_link,115000,27825,Mangosteen,8994455180238
Mangosteen Brightening Serum (30 ml) - V2,FSE-MGT-BRIGHTENINGSERUM-30ML-V2,https://drive.google.com/file/d/12D34vQpJ9ZBiJX7dAa_oh7KS6C_dxDdy/view?usp=drive_link,195000,37247,Mangosteen,8994455180221
Papua Red Fruit Plumping Serum (20 ml),FSE-PRF-PLUMPINGSERUM-20ML,https://drive.google.com/file/d/1nkT5iSA6lW72FHIP47mMEJ3NKUigM80y/view?usp=drive_link,299000,41458,Papua Red Fruit,8994455180320
White Tea Protective Sun Serum (35 ml),FSU-WHT-PROTECTIVESUNSERUM-35ML,https://drive.google.com/file/d/1Zb8VIJtfEaJGAmsOTKHO5agUaqMI_YTg/view?usp=drive_link,179000,38953,White Tea,8994455180146
Sugarcane AHA Exfoliating Solution (100 ml),FTO-SGC-AHASOLUTION-100ML,https://drive.google.com/file/d/15L7Nl-NYUUY7KlvsDhLyzAM7Fc3DBTF3/view?usp=drive_link,190000,38583,Sugarcane,8994455180092
Sugarcane AHA Exfoliating Solution (50 ml),FTO-SGC-AHASOLUTION-50ML,https://drive.google.com/file/d/1RdrrlCzXvxH2hoNkycxSyLRa7dB1xouM/view?usp=drive_link,110000,27083,Sugarcane,
Blue Pea Purifying Micellar Water (265 ml),FWA-BLP-MICELLARWATER-265ML,https://drive.google.com/file/d/1iduWOAoU2MNDGCVzejmCrWWOFJj-2QZC/view?usp=drive_link,159000,24209,Blue Pea,8994455180313
Java Black Tea Soothing Cleanser (100 ml) - V2,FWA-JBT-SOOTHINGGELCLEANSER-100ML-V2,https://drive.google.com/file/d/11w3voA1C3rEnVktP7TCn7tLhxN_Akq0A/view?usp=drive_link,159000,29169,Java Black Tea,8994455180276
